Acc_presence=74.58 MSE_3d=6.970024
Acc_presence=71.47 MSE_3d=6.970023
Acc_presence=99.77 MSE_3d=6.875416
Acc_presence=80.76 MSE_3d=6.820114
Acc_presence=67.45 MSE_3d=4.038827
Acc_presence=42.25 MSE_3d=5.469461
Acc_presence=54.49 MSE_3d=4.699838
Acc_presence=45.82 MSE_3d=6.873494
Acc_presence=99.74 MSE_3d=6.919393
Acc_presence=57.86 MSE_3d=6.873230
Acc_presence=31.14 MSE_3d=6.873395
Acc_presence=35.88 MSE_3d=6.913223
Acc_presence=36.42 MSE_3d=6.957456
Acc_presence=30.69 MSE_3d=6.822847
Acc_presence=30.67 MSE_3d=6.942538
Acc_presence=37.67 MSE_3d=6.816176
Acc_presence=99.74 MSE_3d=7.063916
Acc_presence=99.76 MSE_3d=7.131237
Acc_presence=60.55 MSE_3d=6.114726
Acc_presence=71.09 MSE_3d=3.343258
Acc_presence=68.91 MSE_3d=2.738527
Acc_presence=69.50 MSE_3d=2.649107
Acc_presence=69.50 MSE_3d=2.605303
Acc_presence=69.56 MSE_3d=2.530401
Acc_presence=69.46 MSE_3d=2.448124
Acc_presence=69.35 MSE_3d=2.663281
Acc_presence=69.40 MSE_3d=2.431269
