Acc_presence=66.55 MSE_3d=3.895397
Acc_presence=69.26 MSE_3d=4.798949
Acc_presence=80.06 MSE_3d=2.843653
Acc_presence=68.30 MSE_3d=nan
Acc_presence=79.89 MSE_3d=nan
Acc_presence=79.69 MSE_3d=nan
Acc_presence=56.25 MSE_3d=5.358156
Acc_presence=80.97 MSE_3d=4.416704
Acc_presence=79.81 MSE_3d=2.803147
Acc_presence=79.44 MSE_3d=2.941027
Acc_presence=80.43 MSE_3d=2.412915
Acc_presence=80.70 MSE_3d=2.734621
Acc_presence=79.95 MSE_3d=2.700535
Acc_presence=79.98 MSE_3d=2.610232
Acc_presence=79.98 MSE_3d=4.690690
Acc_presence=80.72 MSE_3d=2.756789
Acc_presence=79.66 MSE_3d=2.983748
Acc_presence=80.37 MSE_3d=2.513697
Acc_presence=79.96 MSE_3d=2.414380
Acc_presence=79.84 MSE_3d=2.450730
Acc_presence=80.00 MSE_3d=2.348981
Acc_presence=79.68 MSE_3d=2.190873
